visitid,zoneid,userid,duration,entryTime,exitTime
931,3,229,42,30/03/2017 10:38,30/03/2017 11:20
932,3,613,14,25/02/2017 11:13,25/02/2017 11:27
933,1,260,85,22/08/2017 16:20,22/08/2017 17:45
934,3,125,47,24/01/2017 18:11,24/01/2017 18:58
935,1,413,76,08/04/2017 12:01,08/04/2017 13:17
936,1,896,78,30/04/2017 20:07,30/04/2017 21:25
937,1,898,17,16/03/2017 06:01,16/03/2017 06:18
938,1,382,12,20/06/2017 15:38,20/06/2017 15:50
939,2,396,59,23/01/2017 20:29,23/01/2017 21:28
940,2,381,22,02/02/2017 16:52,02/02/2017 17:14
941,3,564,36,18/06/2017 21:52,18/06/2017 22:28
942,3,760,45,06/04/2017 22:42,06/04/2017 23:27
943,2,942,2,21/06/2017 02:22,21/06/2017 02:24
944,2,41,90,09/08/2017 02:29,09/08/2017 03:59
945,2,619,36,01/09/2017 04:11,01/09/2017 04:47
946,3,599,80,10/04/2017 05:23,10/04/2017 06:43
947,1,805,83,07/07/2017 01:14,07/07/2017 02:37
948,1,85,26,03/05/2017 22:49,03/05/2017 23:15
949,1,287,70,12/08/2017 00:35,12/08/2017 01:45
950,2,89,13,17/05/2017 13:58,17/05/2017 14:11
951,2,977,48,02/09/2017 17:01,02/09/2017 17:49
952,3,106,22,27/07/2017 18:00,27/07/2017 18:22
953,3,826,46,06/08/2017 06:41,06/08/2017 07:27
954,2,80,77,14/04/2017 08:20,14/04/2017 09:37
955,1,539,59,05/04/2017 18:11,05/04/2017 19:10
956,3,130,30,24/05/2017 18:38,24/05/2017 19:08
957,3,966,32,18/04/2017 04:12,18/04/2017 04:44
958,1,581,78,12/06/2017 16:55,12/06/2017 18:13
959,2,370,56,11/05/2017 12:33,11/05/2017 13:29
960,2,100,45,20/04/2017 21:41,20/04/2017 22:26
961,2,402,13,03/02/2017 19:43,03/02/2017 19:56
962,1,898,12,13/05/2017 02:47,13/05/2017 02:59
963,3,821,67,22/07/2017 23:10,23/07/2017 00:17
964,2,154,25,16/07/2017 08:21,16/07/2017 08:46
965,2,951,82,24/02/2017 03:17,24/02/2017 04:39
966,1,241,10,07/01/2017 00:49,07/01/2017 00:59
967,1,253,79,17/02/2017 16:22,17/02/2017 17:41
968,3,302,70,18/08/2017 19:10,18/08/2017 20:20
969,2,348,65,31/03/2017 09:04,31/03/2017 10:09
970,1,618,76,06/02/2017 15:36,06/02/2017 16:52
971,2,892,70,11/05/2017 12:50,11/05/2017 14:00
972,1,534,88,04/01/2017 15:40,04/01/2017 17:08
973,3,104,49,26/08/2017 23:09,26/08/2017 23:58
974,3,702,87,19/07/2017 19:33,19/07/2017 21:00
975,3,552,43,07/07/2017 04:45,07/07/2017 05:28
976,1,923,88,19/03/2017 22:43,20/03/2017 00:11
977,3,731,32,02/08/2017 11:35,02/08/2017 12:07
978,2,550,58,22/07/2017 21:22,22/07/2017 22:20
979,1,390,58,25/06/2017 17:44,25/06/2017 18:42
980,1,80,32,19/07/2017 10:50,19/07/2017 11:22
981,1,6,76,26/04/2017 07:42,26/04/2017 08:58
982,3,227,81,28/01/2017 02:39,28/01/2017 04:00
983,1,759,70,25/03/2017 17:19,25/03/2017 18:29
984,2,986,73,04/07/2017 07:58,04/07/2017 09:11
985,2,576,57,20/04/2017 05:22,20/04/2017 06:19
986,2,216,57,14/03/2017 07:45,14/03/2017 08:42
987,2,494,17,10/06/2017 03:02,10/06/2017 03:19
988,3,272,65,29/05/2017 12:40,29/05/2017 13:45
989,1,419,45,09/04/2017 06:31,09/04/2017 07:16
990,2,325,80,20/05/2017 04:25,20/05/2017 05:45
991,3,686,54,24/04/2017 15:26,24/04/2017 16:20
992,3,128,81,13/02/2017 22:42,14/02/2017 00:03
993,3,827,74,13/03/2017 10:35,13/03/2017 11:49
994,1,328,50,06/01/2017 13:03,06/01/2017 13:53
995,3,728,47,19/05/2017 02:11,19/05/2017 02:58
996,1,660,89,15/01/2017 20:36,15/01/2017 22:05
997,3,710,52,05/06/2017 00:08,05/06/2017 01:00
998,2,528,67,20/07/2017 08:47,20/07/2017 09:54
999,3,209,85,11/03/2017 07:32,11/03/2017 08:57
1000,3,937,54,09/04/2017 14:18,09/04/2017 15:12
